project,nodes,edges,runtime,paths
com.genersoft.wvp-1.5.10.RELEASE-reduced.json,10,1,0.7343876990198623,11
com.genersoft.wvp-1.5.10.RELEASE-reduced.json,20,1,0.19268371199723333,21
com.genersoft.wvp-1.5.10.RELEASE-reduced.json,30,7,0.24405185799696483,39
com.genersoft.wvp-1.5.10.RELEASE-reduced.json,40,13,0.3082310280005913,56
com.genersoft.wvp-1.5.10.RELEASE-reduced.json,50,15,0.35406144699663855,68
com.genersoft.wvp-1.5.10.RELEASE-reduced.json,60,19,0.406734423013404,84
com.genersoft.wvp-1.5.10.RELEASE-reduced.json,70,30,0.42609029897721484,87
com.genersoft.wvp-1.5.10.RELEASE-reduced.json,80,44,0.4336304839816876,87
com.genersoft.wvp-1.5.10.RELEASE-reduced.json,90,98,0.438657055987278,87
com.genersoft.wvp-1.5.10.RELEASE-reduced.json,100,114,0.4388746019976679,87
com.genersoft.wvp-1.5.10.RELEASE-reduced.json,110,140,0.44038171001011506,87
com.genersoft.wvp-1.5.10.RELEASE-reduced.json,120,228,0.44595933199161664,87
com.genersoft.wvp-1.5.10.RELEASE-reduced.json,130,494,0.48745206600870006,87
com.genersoft.wvp-1.5.10.RELEASE-reduced.json,140,561,0.49294686398934573,87
com.genersoft.wvp-1.5.10.RELEASE-reduced.json,150,643,0.9356440839765128,87
com.genersoft.wvp-1.5.10.RELEASE-reduced.json,160,729,1.82553389199893,87
org.testingisdocumenting.webtau.webtau-config-1.22-SNAPSHOT-reduced.json,10,4,0.6111205310153309,6
org.testingisdocumenting.webtau.webtau-config-1.22-SNAPSHOT-reduced.json,20,20,0.02233452399377711,6
org.testingisdocumenting.webtau.webtau-config-1.22-SNAPSHOT-reduced.json,30,30,0.024136824999004602,6
org.testingisdocumenting.webtau.webtau-config-1.22-SNAPSHOT-reduced.json,40,43,0.03057365701533854,6
org.testingisdocumenting.webtau.webtau-config-1.22-SNAPSHOT-reduced.json,50,57,0.03309135799645446,6
org.testingisdocumenting.webtau.webtau-config-1.22-SNAPSHOT-reduced.json,60,88,0.03575888500199653,6
org.testingisdocumenting.webtau.webtau-config-1.22-SNAPSHOT-reduced.json,70,114,0.03396596500533633,6
org.testingisdocumenting.webtau.webtau-config-1.22-SNAPSHOT-reduced.json,80,134,0.03578740800730884,6
org.testingisdocumenting.webtau.webtau-config-1.22-SNAPSHOT-reduced.json,90,167,0.033421027997974306,6
org.testingisdocumenting.webtau.webtau-config-1.22-SNAPSHOT-reduced.json,100,226,0.03502705300343223,6
org.testingisdocumenting.webtau.webtau-config-1.22-SNAPSHOT-reduced.json,110,260,0.03669371598516591,6
org.testingisdocumenting.webtau.webtau-config-1.22-SNAPSHOT-reduced.json,120,319,0.03850020101526752,6
org.testingisdocumenting.webtau.webtau-config-1.22-SNAPSHOT-reduced.json,130,400,0.03187278300174512,6
org.testingisdocumenting.webtau.webtau-config-1.22-SNAPSHOT-reduced.json,140,450,0.037268985994160175,6
org.testingisdocumenting.webtau.webtau-config-1.22-SNAPSHOT-reduced.json,150,552,0.03900396000244655,6
org.testingisdocumenting.webtau.webtau-config-1.22-SNAPSHOT-reduced.json,160,594,0.040072400006465614,6
org.testingisdocumenting.webtau.webtau-config-1.22-SNAPSHOT-reduced.json,170,616,0.041042699973331764,6
org.testingisdocumenting.webtau.webtau-config-1.22-SNAPSHOT-reduced.json,180,682,0.042333721998147666,6
org.testingisdocumenting.webtau.webtau-config-1.22-SNAPSHOT-reduced.json,190,765,0.07622147598885931,6
org.testingisdocumenting.webtau.webtau-config-1.22-SNAPSHOT-reduced.json,200,922,0.04660150202107616,6
